"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.86617806943215 0.00461129605340129 0.109177070084568 4.59352852419812 4.80731846576294 4.89236647158637 4.95178117489293 4.99317862450799 560.553229885739 1.00062425438436
"r_lock_1" 0.179292640876606 0.000214090507397819 0.00531108742136107 0.171953415061391 0.175355619970887 0.178149387962875 0.182208381514483 0.191983336781518 615.420667816697 0.999506772033972
"m_lock_1" 0.171927978567347 0.000286217199649713 0.00891613076890533 0.156443416459765 0.165721456172442 0.171216311797426 0.177642978398253 0.191173212713711 970.423717690894 1.00135691139869
"m_relax_1" 0.225175137816521 0.00153676167269891 0.049085535767527 0.135471002494006 0.189951193123568 0.222752666859453 0.25510697943987 0.334420656067563 1020.22046328841 1.0004228515575
"shift_lock_1" 0.523952030357832 0.0132014881958819 0.496843100193255 0.0111511144701091 0.149737780626016 0.36184190764044 0.748372082346395 1.85309194083111 1416.42225751326 0.999411487973325
"gamma_s" 0.597198882008491 0.00367782155267905 0.108327422652113 0.420274104504082 0.517763394154413 0.584511110244833 0.669523209869352 0.836954033443382 867.551997098737 1.00120251808948
"gamma_H" 0.230604113168634 0.00192925135925641 0.0486796274884715 0.162722747755165 0.194777468341482 0.223172508284371 0.256431507463027 0.347284218307197 636.673630242271 0.998565026654223
"gamma_ICU" 0.157181977370476 0.00108036544176833 0.034419474428965 0.105595295035857 0.132963655766892 0.15249310060211 0.173079009062196 0.238730064868221 1015.0024759325 1.00171218733914
"eps_H_ICU" 0.138513881559213 0.00150824743251439 0.0420134411778743 0.0794099193645664 0.109012824065231 0.13048329728625 0.159381805459439 0.242739874231063 775.945680342283 0.99968302269928
"eps_H_x" 0.0382579602702227 0.000337823759673779 0.00882135527184073 0.02446135342072 0.0319062003626119 0.0368034650061996 0.0435473446304121 0.0579247987775407 681.852197703145 1.00149680297847
"eps_ICU_x" 0.0489452977702069 0.000783624218747163 0.031321463320958 0.0070683142607164 0.0260523769642116 0.0428466688780122 0.0660283937549988 0.122095021990995 1597.60123640214 1.00020292525415
"r_d_s" 0.151500443617587 0.00292791092121125 0.0754059680919314 0.0488184933462591 0.0960116359774628 0.13551900571871 0.195187893155323 0.334801269694786 663.278195665609 1.00251929595908
"r_d_a" 0.171297937537481 0.00286747328657657 0.0864764950094382 0.0415111746657078 0.104601295283701 0.160147418508788 0.220689722373607 0.37558235906554 909.488885954998 0.998491899804632
