"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.00130045395561 0.0201039579034333 0.548998547062181 2.87034343483776 3.61709352153074 4.02653095237516 4.42863528625164 4.94133095512373 745.725952921837 1.0058779349558
"r_lock_1" 0.328876578894407 0.00137451490050969 0.0366921094357266 0.271088484959558 0.302815412890542 0.323398308650545 0.349843480325244 0.416402605993541 712.6010466197 1.00562842904889
"gamma_s" 0.498066486045183 0.00490633308469974 0.15536583226922 0.251118126031425 0.37908189163236 0.479888267806657 0.601082982907377 0.832760237357994 1002.7599373015 1.00381864425229
"gamma_H" 0.298002742851949 0.00238698314341177 0.0832490906646456 0.183275768632742 0.240945791547763 0.282740041221812 0.336949760849337 0.494636830839371 1216.354854031 1.0030226314375
"gamma_ICU" 0.189166845435367 0.00208212587838324 0.0667677617025699 0.0968008153951127 0.143578972851275 0.175873755055995 0.221711127533741 0.356049697233944 1028.29960925647 1.00001817356169
"eps_H_ICU" 0.117671909936343 0.0013871109828436 0.0429317334049857 0.0601881394549703 0.0884851536407802 0.108823445012818 0.135965285167716 0.224885322562004 957.931438985853 1.00099149064575
"eps_H_x" 0.0299240071356984 0.000164459769799554 0.00623676699668641 0.0191507907570148 0.0258871527421365 0.0294528997612248 0.0332569053061034 0.0439292107119332 1438.13508817038 1.00200739662383
"eps_ICU_x" 0.061604162021552 0.000982965514968794 0.0387702342404273 0.00846148635912507 0.0330797903045073 0.0542706369778536 0.0821227853894973 0.15508800044381 1555.68006314637 1.00001224308151
"r_d_s" 0.00327650291270662 2.38130750588268e-05 0.000621431152229325 0.00220873383664057 0.00283762409714223 0.00322261235391332 0.00363734482808926 0.00471234343553256 681.012493617169 1.00378290813713
"r_d_a" 0.00156702333377508 2.35379049628167e-05 0.000859620901655101 0.00029628789137398 0.000948660933805545 0.00144355729884988 0.00206768352057979 0.00357493728359047 1333.76195014325 1.0015658229226
